 id,city,address, תעשייה , ייצור חשמל , תחבורה ," סה""כ ", עלות - תעשייה , עלות ייצור חשמל , עלות - תחבורה ," סה""כ ",lng,lat, מקדם תעשייה , מקדם חשמל , מקדם תחבורה 
  412 , חדרה ,,  126 ,"  60,980 ",  358 ,"  61,464 ","  4,536,164 ","  1,391,449,649 ","  30,565,092 ","  1,426,550,906 ",,,"  35,934 ","  22,818 ","  85,477 "
  198 , אשקלון ,,  35 ,"  23,041 ",  111 ,"  23,188 ","  1,274,192 ","  525,753,531 ","  9,486,398 ","  536,514,121 ",,,"  35,934 ","  22,818 ","  85,477 "
  360 , רמלה ,,"  6,590 ",  -   ,  104 ,"  6,694 ","  236,809,545 ",  -   ,"  8,866,784 ","  245,676,329 ",,,"  35,934 ","  22,818 ","  85,477 "
  355 , אשדוד ,,"  1,437 ","  2,264 ",  172 ,"  3,873 ","  51,636,815 ","  51,655,502 ","  14,679,474 ","  117,971,791 ",,,"  35,934 ","  22,818 ","  85,477 "
  266 , חיפה ,,"  1,446 ",  532 ,  968 ,"  2,946 ","  51,946,490 ","  12,149,056 ","  82,735,536 ","  146,831,082 ",,,"  35,934 ","  22,818 ","  85,477 "
  40 , תל אביב -יפו ,,  27 ,  826 ,"  1,264 ","  2,117 ","  966,825 ","  18,837,035 ","  108,071,420 ","  127,875,280 ",,,"  35,934 ","  22,818 ","  85,477 "
  421 , תמר ,,"  1,772 ",  -   ,  232 ,"  2,004 ","  63,665,094 ",  -   ,"  19,824,303 ","  83,489,397 ",,,"  35,934 ","  22,818 ","  85,477 "
  420 , ללא שיפוט ,,  10 ,  594 ,  962 ,"  1,566 ","  371,024 ","  13,563,384 ","  82,193,758 ","  96,128,166 ",,,"  35,934 ","  22,818 ","  85,477 "
  293 , חוף הכרמל ,,  53 ,  851 ,  628 ,"  1,533 ","  1,912,592 ","  19,418,620 ","  53,717,607 ","  75,048,819 ",,,"  35,934 ","  22,818 ","  85,477 "
  340 , בית שמש ,,"  1,355 ",  -   ,  51 ,"  1,407 ","  48,696,638 ",  -   ,"  4,387,954 ","  53,084,593 ",,,"  35,934 ","  22,818 ","  85,477 "
  53 , מטה אשר ,,"  1,042 ",  -   ,  296 ,"  1,337 ","  37,438,721 ",  -   ,"  25,258,999 ","  62,697,721 ",,,"  35,934 ","  22,818 ","  85,477 "
  169 , עמק יזרעאל ,,  315 ,  443 ,  541 ,"  1,298 ","  11,319,767 ","  10,104,951 ","  46,204,179 ","  67,628,898 ",,,"  35,934 ","  22,818 ","  85,477 "
  353 , ירושלים ,,  130 ,  -   ,"  1,162 ","  1,292 ","  4,673,476 ",  -   ,"  99,361,317 ","  104,034,793 ",,,"  35,934 ","  22,818 ","  85,477 "
  397 , גזר ,,  -   ,  826 ,  269 ,"  1,095 ",  -   ,"  18,858,735 ","  22,958,400 ","  41,817,134 ",,,"  35,934 ","  22,818 ","  85,477 "
  156 , נצרת עילית ,,  881 ,  -   ,  53 ,  935 ,"  31,667,818 ",  -   ,"  4,570,381 ","  36,238,198 ",,,"  35,934 ","  22,818 ","  85,477 "
  8 , ראשון לציון ,,  5 ,  -   ,  671 ,  676 ,"  178,077 ",  -   ,"  57,387,056 ","  57,565,132 ",,,"  35,934 ","  22,818 ","  85,477 "
  354 , יואב ,,  97 ,  480 ,  91 ,  668 ,"  3,491,403 ","  10,950,792 ","  7,763,829 ","  22,206,023 ",,,"  35,934 ","  22,818 ","  85,477 "
  407 , דרום השרון ,,  50 ,  -   ,  471 ,  521 ,"  1,780,606 ",  -   ,"  40,259,169 ","  42,039,775 ",,,"  35,934 ","  22,818 ","  85,477 "
  202 , בני שמעון ,,  38 ,  -   ,  415 ,  453 ,"  1,373,777 ",  -   ,"  35,433,310 ","  36,807,088 ",,,"  35,934 ","  22,818 ","  85,477 "
  367 , פתח תקווה ,,  23 ,  -   ,  424 ,  447 ,"  822,300 ",  -   ,"  36,277,415 ","  37,099,715 ",,,"  35,934 ","  22,818 ","  85,477 "
  389 , חבל מודיעין ,,  -   ,  -   ,  381 ,  445 ,  -   ,  -   ,"  32,595,560 ","  32,595,560 ",,,"  35,934 ","  22,818 ","  85,477 "
  338 , מטה יהודה ,,  0 ,  -   ,  439 ,  439 ,"  17,313 ",  -   ,"  37,504,008 ","  37,521,321 ",,,"  35,934 ","  22,818 ","  85,477 "
  371 , נתניה ,,  18 ,  -   ,  414 ,  432 ,"  661,941 ",  -   ,"  35,357,580 ","  36,019,521 ",,,"  35,934 ","  22,818 ","  85,477 "
  204 , הערבה התיכונה ,,  136 ,  -   ,  147 ,  419 ,"  4,883,790 ",  -   ,"  12,596,973 ","  17,480,763 ",,,"  35,934 ","  22,818 ","  85,477 "
  199 , באר שבע ,,  16 ,  -   ,  388 ,  404 ,"  563,774 ",  -   ,"  33,180,267 ","  33,744,041 ",,,"  35,934 ","  22,818 ","  85,477 "
