  חדרה  ישראל,  412 ,  126 ,"  60,980 ",  358 ,"  61,464 ","  4,536,164 ","  1,391,449,649 ","  30,565,092 ","  1,426,550,906 ",34.9196518,32.4340458,"  35,934 ","  22,818 ","  85,477 "
  אשקלון  ישראל,  198 ,  35 ,"  23,041 ",  111 ,"  23,188 ","  1,274,192 ","  525,753,531 ","  9,486,398 ","  536,514,121 ",34.5742523,31.6687885,"  35,934 ","  22,818 ","  85,477 "
  רמלה  ישראל,  360 ,"  6,590 ",  -   ,  104 ,"  6,694 ","  236,809,545 ",  -   ,"  8,866,784 ","  245,676,329 ",34.872938,31.931566,"  35,934 ","  22,818 ","  85,477 "
  אשדוד  ישראל,  355 ,"  1,437 ","  2,264 ",  172 ,"  3,873 ","  51,636,815 ","  51,655,502 ","  14,679,474 ","  117,971,791 ",34.655314,31.804381,"  35,934 ","  22,818 ","  85,477 "
  חיפה  ישראל,  266 ,"  1,446 ",  532 ,  968 ,"  2,946 ","  51,946,490 ","  12,149,056 ","  82,735,536 ","  146,831,082 ",34.989571,32.7940463,"  35,934 ","  22,818 ","  85,477 "
  תל אביב -יפו  ישראל,  40 ,  27 ,  826 ,"  1,264 ","  2,117 ","  966,825 ","  18,837,035 ","  108,071,420 ","  127,875,280 ",34.78176759999999,32.0852999,"  35,934 ","  22,818 ","  85,477 "
  תמר  ישראל,  421 ,"  1,772 ",  -   ,  232 ,"  2,004 ","  63,665,094 ",  -   ,"  19,824,303 ","  83,489,397 ",34.969885,32.8129034,"  35,934 ","  22,818 ","  85,477 "
  ללא שיפוט  ישראל
  חוף הכרמל  ישראל,  293 ,  53 ,  851 ,  628 ,"  1,533 ","  1,912,592 ","  19,418,620 ","  53,717,607 ","  75,048,819 ",34.9396367,32.6476537,"  35,934 ","  22,818 ","  85,477 "
  בית שמש  ישראל,  340 ,"  1,355 ",  -   ,  51 ,"  1,407 ","  48,696,638 ",  -   ,"  4,387,954 ","  53,084,593 ",34.988099,31.747041,"  35,934 ","  22,818 ","  85,477 "
  מטה אשר  ישראל,  53 ,"  1,042 ",  -   ,  296 ,"  1,337 ","  37,438,721 ",  -   ,"  25,258,999 ","  62,697,721 ",35.148879,33.0059802,"  35,934 ","  22,818 ","  85,477 "
  עמק יזרעאל  ישראל,  169 ,  315 ,  443 ,  541 ,"  1,298 ","  11,319,767 ","  10,104,951 ","  46,204,179 ","  67,628,898 ",35.2368246,32.6221494,"  35,934 ","  22,818 ","  85,477 "
  ירושלים  ישראל,  353 ,  130 ,  -   ,"  1,162 ","  1,292 ","  4,673,476 ",  -   ,"  99,361,317 ","  104,034,793 ",35.21371,31.768319,"  35,934 ","  22,818 ","  85,477 "
  גזר  ישראל,  397 ,  -   ,  826 ,  269 ,"  1,095 ",  -   ,"  18,858,735 ","  22,958,400 ","  41,817,134 ",34.92111,31.876349,"  35,934 ","  22,818 ","  85,477 "
  נצרת עילית  ישראל,  156 ,  881 ,  -   ,  53 ,  935 ,"  31,667,818 ",  -   ,"  4,570,381 ","  36,238,198 ",35.324812,32.711539,"  35,934 ","  22,818 ","  85,477 "
  ראשון לציון  ישראל,  8 ,  5 ,  -   ,  671 ,  676 ,"  178,077 ",  -   ,"  57,387,056 ","  57,565,132 ",34.7925013,31.9730015,"  35,934 ","  22,818 ","  85,477 "
  יואב  ישראל,  354 ,  97 ,  480 ,  91 ,  668 ,"  3,491,403 ","  10,950,792 ","  7,763,829 ","  22,206,023 ",34.83609130000001,32.1247419,"  35,934 ","  22,818 ","  85,477 "
  דרום השרון  ישראל,  407 ,  50 ,  -   ,  471 ,  521 ,"  1,780,606 ",  -   ,"  40,259,169 ","  42,039,775 ",34.9230955,32.1412443,"  35,934 ","  22,818 ","  85,477 "
  בני שמעון  ישראל,  202 ,  38 ,  -   ,  415 ,  453 ,"  1,373,777 ",  -   ,"  35,433,310 ","  36,807,088 ",34.8403408,31.3927762,"  35,934 ","  22,818 ","  85,477 "
  פתח תקווה  ישראל,  367 ,  23 ,  -   ,  424 ,  447 ,"  822,300 ",  -   ,"  36,277,415 ","  37,099,715 ",34.887762,32.084041,"  35,934 ","  22,818 ","  85,477 "
  חבל מודיעין  ישראל,  389 ,  -   ,  -   ,  381 ,  445 ,  -   ,  -   ,"  32,595,560 ","  32,595,560 ",34.9396367,31.9716517,"  35,934 ","  22,818 ","  85,477 "
  מטה יהודה  ישראל,  338 ,  0 ,  -   ,  439 ,  439 ,"  17,313 ",  -   ,"  37,504,008 ","  37,521,321 ",34.9727096,31.7916936,"  35,934 ","  22,818 ","  85,477 "
